comment_id	parent_id	author_name	author_url	comment_text	published_at	like_count
UgwxiRM1PxC-FeZ7FMx4AaABAg		@라울-f4g	https://yt3.ggpht.com/ytc/AIdro_lrmA5iLoLMQQmNOW2hJUTR4beSRAZkBxSIMrTjL0aMLg=s48-c-k-c0x00ffffff-no-rj	"진짜 멋지다"	"2021-04-16T23:17:58Z"	5
Ugz2LKMDcUYcwMVwOO54AaABAg		@joaolopes8971	https://yt3.ggpht.com/ytc/AIdro_nqL1NOBmXpASh2na7cARzn38N5cEcZcmc2Nj0K82o=s48-c-k-c0x00ffffff-no-rj	"Wonderful concert :)"	"2021-04-14T00:17:54Z"	7
UgxlwsDEqm2xREnXk1R4AaABAg		@etoilefilante5610	https://yt3.ggpht.com/ytc/AIdro_nYVHqc1WJ-rRpO2BQ1vQVTyoNHJ2DZdENRYNEWkFi1AB8=s48-c-k-c0x00ffffff-no-rj	"Waooooo 😍 The Queen"	"2021-04-11T00:34:25Z"	4
UgxzGTZZ1smlcMjoKsF4AaABAg		@marcialsoto9058	https://yt3.ggpht.com/ytc/AIdro_nBr4iK6rwqk3IVs1bi9Enhya234rFgtfrB_3Jvi1SVySg=s48-c-k-c0x00ffffff-no-rj	"La Weona está terrible dura .. jajajakakka"	"2021-04-10T16:01:59Z"	0
UgxzGTZZ1smlcMjoKsF4AaABAg.9Lxxh9LiX499T7y781jSW5	UgxzGTZZ1smlcMjoKsF4AaABAg	@Levi-dc1yx	https://yt3.ggpht.com/8DDk-FfoQYeHu5J9BbAkpOTonTkXmPkIx-_6Ooilz9hdezVzWvV9oUojIyKfgTJPucpahIwFKw=s48-c-k-c0x00ffffff-no-rj	"Calla y aprecia a la reina amigo"	"2021-10-05T22:17:04Z"	0
UgzEBQaOx27VOyX9Zu94AaABAg		@briantaylor9986	https://yt3.ggpht.com/uLPu82zMDj3msxD_pgU12ri2JZdDCd30t6BRh8HPQNu7Yywx_bbYHTUyXflOO0sjorQjNAn9ag=s48-c-k-c0x00ffffff-no-rj	"Is it me or the outfit should've been trashy and sexy so she could get loose but this was still epic"	"2021-04-10T02:02:29Z"	0
Ugy9awfJEgi5U-iQd-t4AaABAg		@MrReciengraduado	https://yt3.ggpht.com/ytc/AIdro_mLmjc0GHAFuH7UjNAdJ6KZrELBY-1fhkew0hZWx6HMTbA=s48-c-k-c0x00ffffff-no-rj	"Was she drugged?"	"2021-04-09T04:40:27Z"	0
Ugwja3I4Ooj21Q2gs9N4AaABAg		@davyo	https://yt3.ggpht.com/0RGVNtJ1U8pVqxeppOIVW_x1o2Z5PJUNt70eqy2V1czP5vNfBbvPIbfjONHWpsufX7u95O_ErQ=s48-c-k-c0x00ffffff-no-rj	"Love when she screamed merry Christmas"	"2021-04-06T01:43:24Z"	8
Ugxz719qcftMcTPcTaV4AaABAg		@Aleksandr_Petrov04	https://yt3.ggpht.com/eA0AGY14ACK1X8ce846K8fjGrOYUsxvs2HgNKxXs1KZOinsBekOZEB59tdHeRfPfZ0nGbOxYrMI=s48-c-k-c0x00ffffff-no-rj	"The best performance!"	"2021-04-05T11:54:01Z"	7
UgyJaClSkQqwI5IfNKN4AaABAg		@nomoreteqrs	https://yt3.ggpht.com/ReDuqykUW7b74PXgajRMcefTacwTGSwg4BVpEzkXsM5MDulUIOnrjKIfNMxmepfYDZ8ZSnHI9Xk=s48-c-k-c0x00ffffff-no-rj	"3:02 😳 What...?
1:15 whatttt"	"2021-04-02T23:55:16Z"	1
UgxeqZW-1YTm6qzxI4Z4AaABAg		@karenlara123	https://yt3.ggpht.com/Eh5V5r1m3ECCjEKwTnCcIGCQs0HgVqKNRK5RwS-OdQtsPnaEvkIOAajeN4LUuNSllKoHtmOu=s48-c-k-c0x00ffffff-no-rj	"That isn’t lady Gaga the real lady is better"	"2021-03-31T06:24:27Z"	0
UgytC5TAf6EvFc6xT214AaABAg		@lukegodin8443	https://yt3.ggpht.com/8Yej3dMx75DLRSBWoBQe90nIKXgDwvv9Xx6FUOyyI9miem5XcVl0qh1K76kVxJQHbfblihSSfA=s48-c-k-c0x00ffffff-no-rj	"I love Lady Gaga 💞💞"	"2021-03-23T02:01:31Z"	3
Ugwny7W0D3zKgjylD_V4AaABAg		@delfeeyalyn8883	https://yt3.ggpht.com/ytc/AIdro_m7NpjvMAPip17RHBebmQbn_xlMG9c-yIS6RZa7xLvkRg=s48-c-k-c0x00ffffff-no-rj	"2021?.."	"2021-03-21T07:53:32Z"	2
UgwhPFU8TPsB3CfkSOZ4AaABAg		@onikaashii	https://yt3.ggpht.com/E7vWOwrbO7eLZdOT0i4p2ys0eFfyoXxQqKcd9VUwGIcl3lYJ3p6VAZRxQR2QVFNt9tJOSSek4rE=s48-c-k-c0x00ffffff-no-rj	"LMAOAOA THIS PERSON HOLDING A WHOLE DAMN TABLET- EFRGTHY"	"2021-03-14T09:57:24Z"	1
UgwPVcDcJi3mC2MPWHx4AaABAg		@colettejadeleung	https://yt3.ggpht.com/6_rrgVWv-CgcD4pTr3V9HIy7kBIOEY8nNim8IFsIFpurTMlz_IL-OWQU02-4bbkz1ANk8xOe1dU=s48-c-k-c0x00ffffff-no-rj	"Lol my queen Gaga said HOREEF at 1:15 





I want your horeef"	"2021-03-13T16:36:05Z"	0
Ugz3Cx4gPscvjXkGBUR4AaABAg		@alantg8165	https://yt3.ggpht.com/zwkwKQH7xdv38yu9eYYOrXQcV3K3T1pDNvOpQAvhq7edqBDrH-0kC0rwPtEjXQrNRhz5xIsIu4g=s48-c-k-c0x00ffffff-no-rj	"Miércoles que final"	"2021-03-13T01:59:29Z"	0
UgyjulpnM_j6RYbfMwV4AaABAg		@chandleringram3497	https://yt3.ggpht.com/ytc/AIdro_nvBB1uQd_0KLF-nEnJ2-sOlC1EoBJB-I-QEDc9PGHpp0s=s48-c-k-c0x00ffffff-no-rj	"3:53 had me weak 😂😂😂"	"2021-03-07T05:19:51Z"	153
UgyjulpnM_j6RYbfMwV4AaABAg.9K_GBN6MXHr9PlG24VyYwj	UgyjulpnM_j6RYbfMwV4AaABAg	@andreamata470	https://yt3.ggpht.com/ytc/AIdro_kASXmOpjlst2lk62Fyz9jCE2O9VOqTO2QKbnyUvo9tqWY=s48-c-k-c0x00ffffff-no-rj	"😂😂😂😂😂"	"2021-07-14T03:46:27Z"	2
